,place_name,place_type,place_address,bicimad_station,station_location,distance
0,Auditorio Carmen Laforet (Ciudad Lineal),Centros culturales,CALLE JAZMIN 46,Manuel Caldeiro,Paseo de la Castellana nº 298,2177.692828771628
1,Auditorio al aire libre. Parque del Calero,Centros culturales,CALLE JOSE DEL HIERRO 3,C.D. Concepción,Calle Jose del Hierro nº 5,247.6360314119281
2,Auditorio y sala de exposiciones Paco de Lucía (Latina),Centros culturales,AVENIDA LAS AGUILAS 2 A,Caramuel,Calle Caramuel nº 51,4583.158605774528
3,Centro Comunitario Casino de la Reina,Centros culturales,CALLE CASINO 3,Embajadores 2,Glorieta de Embajadores nº 2,293.2648402465187
4,Centro Cultural - Centro Socio Cultural Villa de Barajas,Centros culturales,CALLE BOTICA 7 y 10,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,8497.91066342894
5,Centro Cultural Alfredo Kraus (Fuencarral - El Pardo),Centros culturales,GLORIETA PRADERA DE VAQUERIZAS 9,Pedro Rico,Calle Pedro Rico nº 4,3852.734081218399
6,Centro Cultural Antonio Machado (San Blas - Canillejas),Centros culturales,CALLE SAN ROMÁN DEL VALLE 8,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2390.3201588641828
7,Centro Cultural Auditorio Parque El Paraíso (San Blas - Canillejas),Centros culturales,AVENIDA ARCENTALES 4,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2098.335992165306
8,Centro Cultural Buenavista (Salamanca),Centros culturales,AVENIDA TOREROS 5,Avenida de los Toreros,Avenida de los Toreros nº 3,56.57495938037903
9,Centro Cultural Buero Vallejo (San Blas - Canillejas),Centros culturales,CALLE BOLTA&amp;Ntilde;A 27,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3553.3667534723168
10,Centro Cultural Carril del Conde (Hortaleza),Centros culturales,CALLE CARRIL DEL CONDE 57,Condesa de Venadito,Calle Condesa de Venadito nº 2,2002.704141765157
11,Centro Cultural Casa de Vacas (Retiro),Centros culturales,PASEO COLOMBIA 1,Velázquez,Calle Alcalá nº 95,236.03180796775547
12,Centro Cultural Casa del Reloj (Arganzuela),Centros culturales,PASEO CHOPERA 6 Y 10,Jaime el Conquistador,Calle Jaime el Conquistador nº 30,274.26498977452053
13,Centro Cultural Ciudad Pegaso (San Blas - Canillejas),Centros culturales,AVENIDA SÉPTIMA 11,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,5219.050133970119
14,Centro Cultural Dotacional Integrado Arganzuela,Centros culturales,CALLE CANARIAS 17,Palos de la Frontera,Calle Palos de la Frontera nº 27,173.7846616910544
15,Centro Cultural Eduardo Úrculo (Tetuán),Centros culturales,PLAZA DONOSO 5,Remonta,Calle Azucenas nº 1,669.5108511966502
16,Centro Cultural Federico Chueca (Hortaleza),Centros culturales,CALLE BENITA AVILA 17,Carlota O’Neill,Calle Carlota O'Neill nº 32,2375.444367513074
17,Centro Cultural Fernando Lázaro Carreter (Carabanchel),Centros culturales,CALLE VERDAD 29,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,737.6572587610061
18,Centro Cultural Fernando de los Ríos (Latina),Centros culturales,CALLE CAMARENA 10 B,Caramuel,Calle Caramuel nº 51,3444.725774075568
19,Centro Cultural Francisco Fatou (Villa de Vallecas),Centros culturales,CALLE MANUEL VELEZ 10,Pavones,Calle Hacienda de Pavones nº 342,2644.141944988311
20,Centro Cultural Galileo (Chamberí),Centros culturales,CALLE GALILEO 39,Fernando el Católico,Calle Fernando el Católico nº 19,225.3569774117737
21,Centro Cultural Gloria Fuertes (Barajas),Centros culturales,AVENIDA LOGROÑO 179,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6299.812338093596
22,Centro Cultural Hortaleza,Centros culturales,CALLE SANTA VIRGILIA 15,Carlota O’Neill,Calle Carlota O'Neill nº 32,3770.6586975109585
23,Centro Cultural Huerta de la Salud (Hortaleza),Centros culturales,CALLE MAR DE LAS ANTILLAS 8,Carlota O’Neill,Calle Carlota O'Neill nº 32,3487.5646348751766
24,Centro Cultural José Luis López Vázquez (San Blas - Canillejas),Centros culturales,CALLE FEBRERO 4,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,7847.669574257594
25,Centro Cultural José Luis Sampedro (Latina),Centros culturales,CALLE CASTROSERNA 4,Caramuel,Calle Caramuel nº 51,2444.2512432932385
26,Centro Cultural Juan Gris (Moncloa - Aravaca),Centros culturales,CALLE FRANCOS RODRíGUEZ 100,Francos Rodríguez,Calle Francos Rodríguez nº 62,490.58186696385695
27,Centro Cultural Julio Cortázar (Moncloa - Aravaca),Centros culturales,CALLE ANTONIO MACHADO 20,Francos Rodríguez,Calle Francos Rodríguez nº 62,1707.3884594843992
28,Centro Cultural La Vaguada (Fuencarral - El Pardo),Centros culturales,AVENIDA MONFORTE DE LEMOS 38,Remonta,Calle Azucenas nº 1,2213.3211557000636
29,Centro Cultural Las Californias (Retiro),Centros culturales,CALLE LUIS PEIDRO 2,Méndez Álvaro,Calle Retama nº 5,391.2425042405785
30,Centro Cultural Lope de Vega (Puente de Vallecas),Centros culturales,CALLE CONCEJO DE TEVERGA 1,Méndez Álvaro,Calle Retama nº 5,981.8674558652491
31,Centro Cultural Los Rosales (Villaverde),Centros culturales,AVENIDA LOS ROSALES 133,Embajadores 191,Calle Sodio nº 1B,4527.496854380751
32,Centro Cultural Mercado de Ibiza (Retiro),Centros culturales,CALLE IBIZA 8 PLANTA 1ª,Retiro-Ibiza,Calle Ibiza nº 18,87.62967741006176
33,Centro Cultural Meseta de Orcasitas (Usera),Centros culturales,PLAZA ASOCIACION 1,Glorieta de Cádiz,Calle Antonio López nº 129,2322.2891324582315
34,Centro Cultural Miguel Hernández (Latina),Centros culturales,CALLE SERRADILLA 13,Caramuel,Calle Caramuel nº 51,6847.612807773379
35,Centro Cultural Moncloa (Moncloa - Aravaca),Centros culturales,PLAZA MONCLOA 1,Moncloa,Paseo de Moret nº 2,142.63247117695764
36,Centro Cultural Nicolás Salmerón (Chamartín),Centros culturales,CALLE MANTUANO 51,Doctor Arce 45,Avenida del Doctor Arce nº 45,391.04183107965343
37,Centro Cultural Orcasur (Usera),Centros culturales,PLAZA PUEBLO 2,Glorieta de Cádiz,Calle Antonio López nº 129,2471.62769687388
38,Centro Cultural Pozo del tío Raimundo (Puente de Vallecas),Centros culturales,AVENIDA DE LAS GLORIETAS 19 19-21 entrada por la plaza del Padre Llanos,Concordia,Calle Arroyo del Olivar nº 6,2340.9891393120656
39,Centro Cultural Príncipe de Asturias (Ciudad Lineal),Centros culturales,AVENIDA INSTITUCION LIBRE DE ENSE&amp;Ntilde;ANZA 14,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,855.8559221298376
40,Centro Cultural Puerta de Toledo (Centro),Centros culturales,AVENIDA GRAN VIA DE SAN FRANCISCO 2,Puerta de Toledo,Glorieta de la Puerta de Toledo nº 1,105.47832539271637
41,"Centro Cultural Rafael Altamira, antes Palacete Quinta del Berro (Salamanca)",Centros culturales,CALLE ENRIQUE D'ALMONTE 1,Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,372.332677728799
42,Centro Cultural San Francisco La Prensa (Carabanchel),Centros culturales,CALLE ALISEDA 4,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,3667.9100164307615
43,Centro Cultural San Juan Bautista (Ciudad Lineal),Centros culturales,CALLE SAN NEMESIO 4,Condesa de Venadito,Calle Condesa de Venadito nº 2,1015.1527532875573
44,Centro Cultural Sanchinarro (Hortaleza),Centros culturales,CALLE PRINCESA DE EBOLI 29 C/V Conde de Mayalde,Manuel Caldeiro,Paseo de la Castellana nº 298,3568.523989499525
45,Centro Cultural Sara Montiel (Latina),Centros culturales,CARRETERA BOADILLA DEL MONTE 40,Caramuel,Calle Caramuel nº 51,5303.499761326577
46,Centro Cultural Usera 1,Centros culturales,AVENIDA RAFAELA YBARRA 49,Glorieta de Cádiz,Calle Antonio López nº 129,1488.8947047145978
47,Centro Cultural Usera 2,Centros culturales,CALLE FELIPE CASTRO 30,Antonio López,Calle Eugenio Caxes frente al nº 12,1098.281199481737
48,Centro Cultural Valdebernardo (Vicálvaro),Centros culturales,BULEVAR INDALECIO PRIETO 21,Pavones,Calle Hacienda de Pavones nº 342,1485.3049384699661
49,Centro Cultural Zazuar (Villa de Vallecas),Centros culturales,CALLE ZAZUAR 4,Pavones,Calle Hacienda de Pavones nº 342,3726.1865979014183
50,Centro Cultural el Madroño (Vicálvaro),Centros culturales,CALLE VILLARDONDIEGO 36,Pavones,Calle Hacienda de Pavones nº 342,2948.267896340527
51,Centro Cultural el Torito (Moratalaz),Centros culturales,AVENIDA MORATALAZ 130,Marroquina,Calle Camino de los Vinateros nº 108,242.01606825645638
52,Centro Cultural la Elipa (Ciudad Lineal),Centros culturales,CALLE SANTA FELICIDAD 39,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,204.92281852980193
53,Centro Integrado Santiago Apóstol (Hortaleza),Centros culturales,CALLE CARRION DE LOS CONDES 73,Pío XII,Avenida Pío XII nº 3,2745.3228469016694
54,Centro Juvenil Carabanchel Alto,Centros culturales,CALLE ALFONSO FERNANDEZ 23,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,5570.46226333238
55,Centro Juvenil El Aleph (Villa de Vallecas),Centros culturales,CALLE ZAZUAR 1 C/V. Avda. Mediterráneo,Pavones,Calle Hacienda de Pavones nº 342,3805.318261000566
56,Centro Juvenil El Pardo,Centros culturales,AVENIDA PADRE CIPRIANO 11,Facultad Derecho,Avenida Complutense nº 23,9398.25123917411
57,Centro Juvenil El Sitio de mi Recreo (Villa de Vallecas),Centros culturales,CALLE REAL DE ARGANDA 39,Pavones,Calle Hacienda de Pavones nº 342,3044.4763929882884
58,Centro Juvenil Hontalbilla (Fuencarral - El Pardo),Centros culturales,CALLE HONTALBILLA 10,Pedro Rico,Calle Pedro Rico nº 4,1273.6134784078909
59,Centro Juvenil Tetuán Punto Joven,Centros culturales,"CALLE DULCINEA 4 Acceso por Raimundo Fdez. Villaverde, 35",Raimundo Fernández,Calle Raimundo Fernández Villaverde nº 33,33.37433046292671
60,Centro Juvenil de Usera,Centros culturales,CALLE CUESTA 4,San Delfín,Calle San Delfín nº 9,510.4887931912454
61,Centro Social Polivalente de Vicálvaro,Centros culturales,AVENIDA REAL 12,Pavones,Calle Hacienda de Pavones nº 342,3082.1721721950566
62,Centro Sociocultural  Siena (Ciudad Lineal),Centros culturales,CALLE SIENA 52,José María Pereda,Calle José María de Pereda nº 1,376.5069567433637
63,Centro Sociocultural Agustín Díaz (Moncloa - Aravaca),Centros culturales,PASEO COMANDANTE FORTEA 42,Paseo de Moret,Paseo de Moret nº 11,1033.7065682580328
64,Centro Sociocultural Alberto Sánchez (Puente de Vallecas),Centros culturales,CALLE RISCO DE PELOCHE 14,Sierra Toledana,Camino de Valderribas nº 94,833.2269753407638
65,Centro Sociocultural Alfonso XII (Fuencarral - El Pardo),Centros culturales,CALLE MIRA EL RIO 4,Facultad Derecho,Avenida Complutense nº 23,9359.786133928432
66,Centro Sociocultural Almirante Churruca (Latina),Centros culturales,CALLE FUENTE DEL TIRO 72,Caramuel,Calle Caramuel nº 51,6446.314196162375
67,Centro Sociocultural Aravaca (Moncloa - Aravaca),Centros culturales,CALLE DE LA ZARZA 20,Facultad Derecho,Avenida Complutense nº 23,6354.270504075889
68,Centro Sociocultural Aula de Aire Libre (Puente de Vallecas),Centros culturales,CALLE SIERRA CARBONERA 74,Concordia,Calle Arroyo del Olivar nº 6,420.983590546859
69,Centro Sociocultural Blasco Ibáñez (Carabanchel),Centros culturales,CALLE SOLDADO JOSE MARIA REY 44,Ermita Santo,Paseo de la Ermita del Santo nº 48,1612.6301636567155
70,Centro Sociocultural Bohemios (Villaverde),Centros culturales,CALLE LOS BOHEMIOS 1,Embajadores 191,Calle Sodio nº 1B,3681.2928620463745
71,Centro Sociocultural Ciudad Lineal,Centros culturales,CALLE POETA BLAS DE OTERO 81,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,380.539304291177
72,Centro Sociocultural Clara Campoamor (Retiro),Centros culturales,PLAZA DAOIZ Y VELARDE 2 PLANTA 1ª,Junta Municipal Retiro,Calle León Gil de Palacio nº 3,191.20336300448207
73,Centro Sociocultural Clara del Rey (Centro),Centros culturales,CALLE RIBERA DE CURTIDORES 2 PLANTA 1ª,Plaza de la Cebada,Plaza de la Cebada nº 16 ,276.59082949529926
74,Centro Sociocultural Cánovas del Castillo (Usera),Centros culturales,CALLE JULIO AGUIRRE 10 y 12,Glorieta de Cádiz,Calle Antonio López nº 129,299.4489142623619
75,Centro Sociocultural Eduardo Chillida (Moratalaz),Centros culturales,CALLE ARROYO BELINCOSO 9,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,422.05998312804786
76,Centro Sociocultural El Greco (Latina),Centros culturales,CALLE EL GRECO 29,Caramuel,Calle Caramuel nº 51,2121.655793866642
77,Centro Sociocultural García Lorca (Carabanchel),Centros culturales,CALLE EUGENIA DE MONTIJO 105,Caramuel,Calle Caramuel nº 51,4628.477775763396
78,Centro Sociocultural José de Espronceda (Tetuán),Centros culturales,CALLE ALMANSA 9,Cuatro Caminos 2,Calle Doctor Santero nº 1,114.62460136118109
79,Centro Sociocultural Las Tablas (Fuencarral - El Pardo),Centros culturales,AVENIDA CAMINO DE SANTIAGO 39,Manuel Caldeiro,Paseo de la Castellana nº 298,2242.9400421057153
80,Centro Sociocultural Latina,Centros culturales,CALLE RODRIGO DE ARANA 50,Caramuel,Calle Caramuel nº 51,5310.951032937289
81,Centro Sociocultural Lavapiés (Centro),Centros culturales,CALLE OLIVAR 46,Jesús y María,Calle Lavapiés nº 34,116.99313077595929
82,Centro Sociocultural Luis Gonzaga (Chamartín),Centros culturales,CALLE PRINCIPE DE VERGARA 142,María Francisca 1,Calle María Francisca nº 1,101.80237810724321
